Topic,Qualification
Software Engineer,"* Software Engineering: Agile development, design discussions, continuous improvement, detailed design documentation, cross-functional collaboration, architecture/solution prototyping, code implementation, code reviews, technical issue resolution, production issue assistance.

Qualifications:

* Degree in Computer Science or equivalent
* 3+ years experience as Software Engineer
* Exposure to Elastic Stack (Elastic Search, LogStash, Kibana, File beats)
* Proficient in Java, Multithreading, good coding practices
* Web-Services (Soap/Rest) experience
* Good knowledge of Ant/Maven/Gradle scripts
* Familiar with web servers (Apache Tomcat)
* Proficient in Spring, JMS, JUnit
* Experience in Service Oriented Architecture/Microservices
* Understanding of Design Patterns
* Familiarity with Hibernate, MySQL/NoSQL (optional)
* Product Engineering Processes knowledge

Technical skills: Java, Multithreading, Elastic Stack, Web-Services, Ant/Maven/Gradle, Spring, JMS, JUnit, Service Oriented Architecture/Microservices, Design Patterns, Hibernate, MySQL/NoSQL."
Network Administrator,"1. Network administration (LAN, WAN, CCTV)
2. Maintaining and configuring hardware and software
3. Disaster recovery and data backup
4. Network security
5. Troubleshooting and problem-solving
6. Network hardware replacement
7. Virus protection software and email application maintenance
8. Network performance monitoring
9. User consultation
10. Console operation
11. Access coordination
12. Network and computer system monitoring
13. Designing and testing networking software, hardware, and operating systems.

(Preferred)

1. 0-2 year experience in Hardware Networking.
2. Bachelor's degree."
Machine Learning,"1. Machine Learning
2. Team Lead
3. Graduate/Post Graduate/ Doctorate in life sciences/Pharmacy/Medical sciences/Registered Nurse
4. Business/Customer: Minimal interaction, understand domain processes/sub processes, terminologies (SOP, QC checklists)
5. Coding: Perform coding activities, import/export terms, query management, create ""New Term Request""
6. CDM: Perform migrations/setup/close out activities, create study reports, adhere to industry regulations
7. Project/Process: Handle transactions, adhere to quality requirements, identify issues, contribute to process improvement
8. Knowledge Management: Update process documentation, participate in knowledge transfer
9. People/Team Management: Personal utilization, attendance, team initiatives, manage break schedule/transport logistics
10. Full Time Employee, Day Job, No Travel.

Essential Skills for Machine Learning Role:

1. Machine learning
2. Coding
3. Query management
4. Database management
5. Documentation
6. Domain knowledge (life sciences/Pharmacy/Medical sciences)
7. Team leadership
8. Regulation compliance
9. Problem solving
10. Communication (minimal customer interaction)
11. Knowledge management
12. Process improvement."
iOS Developer,"1. iOS development
2. Swift, Objective-C
3. Software development lifecycle
4. Mobile application development
5. Thorough testing
6. Quality maintenance
7. Communication (verbal, written)
8. Problem-solving attitude
9. Process-oriented
10. Minimum Bachelor's degree in Computer Engineering, Computer Science or related field
11. 6 years of experience as iOS developer."
Network Administrator,"1. Monitoring client infrastructure and solutions
2. Identifying problems and errors
3. Investigating first line incidents
4. Fulfilling approved requests
5. Providing telephonic or chat support
6. Executing approved maintenance activities
7. Reporting and escalating incidents
8. Ensuring efficient and comprehensive resolution
9. Updating knowledge articles
10. Adapting to changing circumstances
11. Prioritizing client needs
12. Strong communication skills
13. Ability to work under pressure
14. Proactive problem identification
15. Strong analytical skills
16. Strong knowledge of:
    - IT infrastructure and systems
    - Operating systems, database software, and utilities
    - LAN and WAN systems
    - Telecommunications voice/wire systems
17. Familiarity with:
    - MS-Office, MS-Outlook, Symantec Backup Exec, Symantec EndPoint Protection, Symantec System Recovery, Citrix Go-To-Assist, MS-Active Directory, MS-Windows Server, MS-Windows XP Professional, MS-Windows Terminal Server, MS-Exchange Server, MS-SQL Server, MS-IIS Server, Citrix Metaframe, Switches and Routers, SonicWall Firewalls and SSL VPN Security Appliances, Cisco Firewalls and Routers, Cisco Certified Network Associate certifications (CCNA-R/S, CCNA-WL, RCSA-W, CCNA-SEC, CCSA, CCSA-NG AI, VMware Certified Professional, Cisco Certified Network Professional certifications (CCNP-R/S, CCNP-W, CCNP-Data Center,"
Node js developer,"1. Node.js: 3 years experience (preferred)
2. JavaScript, ES6 or ECMA 2015 proficiency
3. Express, Socket.io frameworks
4. Event Loop architecture
5. Promises, await
6. Data storage: RDBMS (MsSQL, MySQL), No SQL (MongoDB)
7. Security: OAuth 2.0, JWT
8. REST-ful APIs, Axios
9. Event loop, asynchronous programming
10. Git
11. Microservices
12. ES6 features, data structures, algorithms
13. REST APIs, Google web services, Docker, AWS Lambda
14. Unit testing: Chai, Mocha
15. Experience with Node Global variables, in-built libraries.

Skills:
1. Node.js (3 yrs)
2. JavaScript, ES6
3. Express, Socket.io
4. Event loop
5. Promises, REST APIs
6. Git
7. Microservices
8. RDBMS (MsSQL, MySQL)
9. No SQL (MongoDB)
10. OAuth 2.0, JWT
11. Docker, AWS Lambda
12. Chai, Mocha
13. Data structures, algorithms
14. Event loop, asynchronous programming

Essential requirements:
1. Node.js: 3 years experience
2. JavaScript, ES6
3. Event loop, promises
4. REST APIs, Git
5. Microservices
6. RDBMS, No SQL
7. OAuth 2.0, JWT"
Network Administrator,"1. Windows operating systems (Win XP, Vista, 7) troubleshooting
2. User account management (creation, block, reset password)
3. Desktop software applications, internet browsers installation
4. Server management (Windows 2008, 2012)
5. Active Directory, Domain, and Sites configuration
6. SCCM Client installation, Software Distribution, Patch Management
7. Network connectivity troubleshooting (LAN)
8. Switch and router troubleshooting
9. Windows deployment (Windows Deployment Service)
10. System administration experience (preferred, 1 year)
11. Knowledge in backups.

(Note: I assumed the ""1 year (total work)"" line in the qualifications refers to the minimum total experience required, hence ""total work experience"" was included. However, this is not explicit, and it could potentially be a typo for a separate ""total years of education"" line, which was not mentioned.)"
Machine Learning,"* Machine Learning
* Bachelor's degree or equivalent experience
* 4 years of work experience in analytics/consulting
* Databases and querying languages (SQL, MySQL)
* Querying and analyzing sets of data
* Statistical analytical tools (R, SPSS, SAS) and coding (C/C++, Python, Java)
* Identify and solve complex problems
* Optimize and scale processes
* Prevent spam and abuse in Google Ads
* Perform statistical data analysis
* Develop and implement automation projects
* Collaborate with Engineering and Product teams
* Lead projects through the full project lifecycle
* Respond to escalations within designated service levels.

Skills:

* Machine Learning
* Analytics/Consulting
* Database querying languages (SQL, MySQL)
* Statistical analysis
* Data analysis
* Technical knowledge
* Process optimization
* Problem-solving
* Collaboration
* Project management
* Communication
* Statistical analytical tools (R, SPSS, SAS)
* Coding (C/C++, Python, Java)
* Escalation response
* User safety and trust
* Policy adherence
* Spam and abuse prevention."
Wordpress Developer,"1. WordPress development
2. Back-end and front-end development
3. WordPress themes implementation
4. WordPress plugins implementation
5. Site integration
6. Security updates
7. Plugin development experience
8. Plugin functionality development/customization
9. WooCommerce functionality customization
10. Theme functionality customization
11. Strong coding skills (Front-end programming languages)
12. Eye for aesthetics
13. Content management skills

This list includes the essential skills required for a WordPress Developer role, excluding non-essential information, marketing language, and generic soft skills."
PHP Developer,"1. PHP (1 year experience, required)
2. Codeigniter or Core PHP
3. MySQL
4. JavaScript
5. Full-time
6. Krishnanagar, Ahmedabad, Gujarat location
7. No remote work
8. Min. 6 months to 2 years experience
9. ₹40,000.00 per month salary (optional)
10. Monday to Friday schedule (optional)"
Software Engineer,"- Software design, planning and development
- Agile development team member
- Problem solving and debugging
- Object-oriented programming (Python)
- Software Design Patterns and Principles
- Relational databases (Oracle, SQL Server)
- SQL, PL/SQL
- Unit testing (Python)
- Familiarity with IDEs (Visual Studio, IntelliJ, PyCharm)
- AWS Cloud APIs
- Oral and written communication skills
- Agile principles, values and practices
- Object Oriented concept and design
- NoSQL databases (optional)
- Continuous Integration / Continuous Delivery (optional)

Education/Experience:
- Computer Science degree or equivalent experience
- 5+ years of programming experience
- Familiarity with SQL and PL/SQL (preferred)
- Unit testing experience (preferred)
- Experience with IDEs (preferred)
- Familiarity with AWS Cloud APIs (preferred)

IHS Markit:
- Equal Employment Opportunity
- Reasonable accommodations for applicants with disabilities
- E-Verify Program participant
- Business Code of Conduct
- Right to Work
- EEO is the Law
- EEO is the Law Supplement
- Pay Transparency

Note: This list is focused on the essential technical skills required for a Software Engineer role as described in the job posting. It is not an exhaustive representation of all the responsibilities and requirements of the position."
Django Developer,"1. Django framework (Python)
2. Full-stack web application
3. RESTful APIs
4. Python (server-side logic)
5. Git version control
6. AWS (optional)
7. Django ORM
8. Databases (SQL, non-relational)
9. Performance and scalability
10. Testable and efficient code
11. Agile framework
12. Security and data protection
13. Data storage solutions (e.g., databases, S3)
14. Front-end technologies (HTML5, CSS3, JavaScript)
15. React JS (optional)
16. Experience (2+ years with Django, Python)
17. Education (Bachelor's preferred)
18. Working hours: Day shift.

These keywords are essential for understanding the job role of a Django Developer, as they focus on the required technical skills and experience."
Database Administrator,"1. Database design, maintenance, monitoring
2. Database security
3. High availability, data delivery
4. SQL Server, RDBMS performance tuning
5. Database administration experience
6. Index management, integrity checks
7. SQL Server: HA technology, troubleshooting
8. Strong SQL Server knowledge, query optimization
9. SQL Server tools: Profiler, SSIS, SSA, SSRS, SSMS, perfmon, Dmvs, system procs
10. Oracle Home and/or MSSQL instance administration
11. Strong experience with database administration
12. Knowledge of SQL Server: 2008R2, 2012, 2016
13. Familiarity with SQL Server Management Studio, Powershell scripting
14. Database administration: OLTP, DW, metadata management, configuration patching, statistics
15. Troubleshooting: Database integrity issues, performance issues, blocking, deadlocking, replication, log shipping, connectivity, security
16. Strong experience with database administration software
17. Ability to work with application groups, 24/7 on-call rotation
18. Physical Demand: Sedentary
19. Experience level: BS Information System, 7+ years
20. Equal Employment Opportunity (EEO) statement

Note: The list may be adjusted based on specific company or job requirements."
JavaScript Developer,"* JavaScript: strong understanding, 1-3 years experience
* UI/UX design: fundamentals
* ES6, TypeScript: basic understanding
* AngularJS, ReactJS, VueJS: knowledge
* Backend: interface, full stack: plus
* Data structures, algorithms: strong knowledge
* English communication: good
* Simultaneous projects: willingness
* Ambiguous requirements: ability to clarify
* Frontend/backend technologies: willingness to learn
* Portfolio/GitHub: share

Essential skills for a JavaScript Developer:

1. JavaScript: strong understanding, experience
2. UI/UX: fundamentals
3. Frontend technologies: ability to learn
4. Data structures, algorithms: strong knowledge
5. Backend: interface, full stack: plus
6. English communication: good
7. Project management: ability to work on multiple projects
8. Problem-solving: ability to clarify ambiguous requirements."
Database Administrator,"1. Database administration
2. SQL database system support
3. Security access right monitoring
4. Backup operation
5. Hardware-operating condition assessment
6. System monitoring
7. Communication skills
8. Analytical ability
9. Judgment ability
10. Strong customer service
11. Experience with Windows Server (2008, 2012, 2016)
12. Experience with Active Directory, DNS, DHCP, and Group Policy
13. VMware server desktop virtualization platform experience
14. Strong customer service skills
15. Troubleshoot user issues remotely
16. Carry pager 7 days a week, 24 hours a day
17. Bachelor's degree in computer science or related field
18. 3-5 years of system administration experience
19. Strong expertise/certifications/registrations in database administration."
Backend Developer,"1. Backend developer experience
2. Cloud native architecture and development
3. RESTful API design and building
4. Backend web services development
5. AWS experience in cloud environment
6. Continuous integration and deployment
7. Docker experience (plus)
8. Node.js experience (plus)
9. Security, cost, performance, reliability consideration in design
10. Clean and maintainable code
11. Unit testing
12. API performance and load testing
13. Improving deployment process
14. Monitoring error logs, SLA’s, and API performance
15. PHP and MySQL (working knowledge)"
Java Developer,"* Java/J2EE development experience (3 years)
* Servlets, Core Java, REST API
* Java technologies: JCR, Apache Sling, Apache Felix, OSGi
* Source Control (Git, TFS)
* JavaScript Frameworks: NodeJS, jQuery, Angular
* Degree in Computer Science or related field (optional)
* Strong Java coding ability
* Knowledge of Content Management Systems (CMS): Adobe Experience Manager, WordPress, Drupal
* Familiarity with HTML, CSS, AJAX, JSON, EXTJS
* Ability to collaborate with team members and clients
* Effective communication (writing and orally)
* Prioritization and project delivery on deadline
* Strong knowledge of JCR, Apache Sling, Apache Felix, OSGi, REST, JavaScript, AJAX, JSON, EXTJS, HTML, CSS
* Familiarity with Git and TFS
* Experience with Angular, jQuery, NodeJS
* Strong Java coding skills
* Ability to test projects against project requirements
* Willingness to learn latest technological developments in the industry."
DevOps Engineer,"1. DevOps Engineer
2. Software engineering
3. Cloud native technologies
4. DevOps automation frameworks
5. CI/CD pipelines
6. Containers
7. Micro-services architectures
8. Distributed systems
9. REST-based services
10. API-driven integration
11. Python, Node, Go, or similar programming languages
12. Linux or Unix software development
13. Ansible, Ansible Tower, Chef, Puppet
14. Docker, Containerd/cri, Swarm, K8s, Mesos
15. Container registries (DTR/Jfrog/Harbor)
16. Excellent communication skills (written & verbal)
17. Great documentation skills
18. Collaboration skills
19. Problem solving skills
20. Bachelor’s degree in Computer Science or related field or equivalent experience
21. 2-5 years development experience
22. 2-5 years designing, building, and supporting multi-tenant software platforms
23. Experience with container orchestration, authentication & authorization
24. Experience with image repositories and configuration management
25. Knowledge of modern CI/CD implementations (Jenkins, CircleCI, Gitlab CI)
26. Experience with Secret Management platforms (Hashicorp Vault)
27. Experience in automating large-scale deployments
28. Knowledge of various container run-times and orchestration platforms
29. Experience with container registries and security/governance for docker containers.

Essential skills:

1. DevOps Engineer
2. Software engineering
3. Cloud native technologies"
Backend Developer,"1. Backend development
2. Technical design
3. Application development
4. Quality processes
5. Code reviews
6. Unit testing
7. Efficient coding
8. Testable code
9. Interaction with stakeholders
10. End-user clients
11. Project Manager/Scrum master
12. Business Analysts
13. Offshore development
14. Testing teams
15. Global reach (Bangalore, Tianjin, Singapore)"
Machine Learning,"1. Machine learning techniques (supervised, unsupervised)
2. Data analysis
3. Predictive modeling
4. Credit and risk domains
5. Problem solving
6. Statistical modeling
7. Programming languages: Python, SQL
8. Analytical and statistical packages: R, Scikit-Learn
9. Machine learning algorithms: Gradient Boosting, Decision Trees, Logistic Regression, Random Forests, Deep Neural Networks, Ensemble methods
10. Hadoop, distributed data processing
11. Bachelor or Master in Operations Research, Computer Engineering or related quantitative disciplines.

These are the essential skills and qualifications for a Machine Learning position."
Node js developer,"1. Node.js: 1 year (preferred)
2. JavaScript: 1 year (preferred)
3. Programming skills
4. Computer Science Fundamentals
5. Backend service maintenance and improvement

Exclusions:
- Core Coding Knowledge (implied in Programming Skills)
- Core Computer Science Fundamentals (implied in Computer Science Fundamentals)
- Expected Start Date
- Job Type
- Salary
- Experience outside of Node.js and JavaScript
- Education level beyond Bachelor's
- Temporarily work from home (Work Remotely)"
Django Developer,"1. Django framework
2. Python
3. SaaS development
4. ML Algorithm development
5. Data Engineering scripts
6. Postgres internal/production data tools
7. Linux
8. Nginx
9. Gunicorn
10. 5-10 years experience
11. Complex product development
12. Django framework mastery
13. Server architecture
14. ML algorithm writing
15. Security
16. Payment gateways
17. Communication with marketing team
18. Bachelor's or Master's degree in computer science or data science
19. Remote work
20. 3-year work experience (preferred)"
PHP Developer,"1. PHP, Ionic (1-2 years experience)
2. CodeIgniter (basic knowledge)
3. iOS app publishing (Apple Store)
4. Android app publishing (Google Store)
5. Software development (1 year)
6. JavaScript (1 year)
7. Diploma (preferred)
8. Remote work (yes)"
Node js developer,"1. Node.JS: 3 years experience
2. Back-end JavaScript & TypeScript
3. REST, JSON, Nest.js framework
4. PostgreSQL, ORM
5. NoSQL (MongoDB), data modeling
6. REST, JSON web services
7. Pusher, Socket.IO: notification, event management
8. JS testing frameworks: Mocha, Istanbul, JSLint, JSHint, Jasmine
9. Git version control (Github)
10. Familiarity with GitHub, Trello, Asana, ClickUp
11. 3+ years relevant experience
12. BS/Bachelor's degree (preferred)
13. Full-time, 6-month contract
14. Day shift
15. Remote
16. Familiarity with military education/experience (optional)"
JavaScript Developer,"1. JavaScript, JQuery, Node.js
2. HTML, CSS
3. Strong Java knowledge
4. Spring Framework, Hibernate
5. SQL
6. AngularJs, JPA
7. AWS
8. Good communication skills
9. Strong analytical skills
10. Problem-solving skills
11. Team management abilities.

Removed:
- Specific location: Chennai
- Marketing language: ""very good communication skills"", ""strong analytical and problem-solving skills"", ""He should be able to understand the existing web-based application and can communicate with the client independently. He should able to handle a team assigned to him.""
- Generic soft skills: ""good communication skills"", ""strong analytical and problem-solving skills""
- Unrelated technology: None."
DevOps Engineer,"1. Cloud Platform: GCP, AWS
2. Bash, Python
3. DevOps/SysAdmin/System Engineer: 5 years experience
4. Cloud-hosted commercial facing environments: 1 year experience
5. Infrastructure management
6. Monitoring tools: Zabbix, Newrelic, Prometheus
7. Supporting applications: HAProxy, MySQL, Nginx, Jenkins, Consul, Rundeck
8. Deploy internal apps: Ansible
9. Custom scripting: Bash, Python
10. CI/CD: Jenkins
11. Databases: MongoDB, Cassandra, ElasticSearch"
Backend Developer,"* Backend development for Mobile & Web applications
* REST-ful API building and GIT knowledge
* Cloud development experience with AWS
* Familiarity with databases: MongoDB, MySQL, PostgreSQL
* Design and develop micro-services, integrate with REST Web Services
* Proficient in Node.js and Express
* Strong knowledge in architecture and databases
* 2+ years of professional experience
* Familiarity with AWS, REST APIs, and databases
* Preferred: Node.js, Express, 1-year programming experience, 1-year work experience.
* Preferred: Secondary education.

Essential Skills:

* REST-ful APIs
* AWS
* Node.js
* Express
* Microservices
* Databases: MongoDB, MySQL, PostgreSQL
* 2+ years professional experience."
Network Administrator,"1. Network Engineering: Routing, Switching, VLAN, VPN, Firewalls, TCP/IP, DNS, DHCP, DHCPv6, DHCPv4, BGP, OSPF, MPLS, VPN, VLAN, VPN- tunneling, Wi-Fi, WPA, WPA2, 802.11n, 802.11ac, 802.1x, ARP, ICMP, SNMP, DHCP, DNS, DHCPv4, DHCPv6, Subnetting, IPv4, IPv6, Tracing, Troubleshooting, CIDR, NAT, VLSM, RIP, OSI, BGP, MPLS, VLAN, VPN, IPSec, SSL, TLS, LDAP, Kerberos, RADIUS, SNMP, SSH, SCP, TFTP, FTP, SMB, NFS, DHCP, DNS, SMTP, IMAP, POP3, HTTP, HTTPS, DHCPv4, DHCPv6, ARP, ICMP, DNS, DHCP, RAID, LUN, iSCSI, SAN, Fibre Channel, SCSI, CAT5, CAT6, CAT7, Cisco, Juniper, HP, Dell, Lenovo, HP, VMware, Hyper-V, Citrix, Linux, Windows, PowerCLI, VSphere, ESXi, VSAN, vCenter, OpenVMS, Oracle, SQL Server, MySQL, Oracle, Oracle Database, Oracle RAC, Oracle Clusterware, Oracle AS"
PHP Developer,"1. PHP
2. MySQL
3. HTML/CSS
4. JavaScript, AJAX
5. Database design
6. Procedural and object-oriented design
7. Unit testing, debugging
8. HTTP
9. Apache
10. Strong programming skills
11. Good experience with PHP, MySQL, Joomla CMS
12. Dreamweaver (optional, but implied by ""Good knowledge of HTML/PHP editor"")"
Wordpress Developer,"1. WordPress: Expertise, HTML to theme modifications, Widgets
2. PHP-MySQL: Customization
3. HTML5, CSS3
4. JQuery, Javascript
5. Plugin development
6. Theme customization
7. Database: Strong knowledge
8. Payment Gateway Integration
9. E-commerce solutions
10. PHP-MySQL customization
11. Framework: Familiarity
12. Data Base

Removed:
- Designation: WordPress Developer
- Experience: 6-8 years
- Qualification: Graduate
- Salary: Upto 8.00 LPA
- Job Location: Indore
- Marketing language and soft skills
- Contact information for queries and resume submissions."
Machine Learning,"1. Machine learning design and methodology
2. Data analysis
3. Strategic data collection, architecture, and integration
4. Communication with business experts and leadership
5. Problem-solving
6. AI ML solutions development and integration
7. Project management (requirements gathering, design, development)
8. ML methodology support for standard and custom studies.

Note: The above list does not include non-essential information or marketing language. It is a clean list of keywords suitable for training a machine learning model."
Backend Developer,"* Backend development experience (min. 5 years)
* Production software design and implementation
* Complex system integrations
* RESTful APIs design (scalable, redundant)
* Node.JS, Javascript
* Micro-services architecture
* Server management (Amazon EC2, Amazon Lambda)
* BDD Testing (Cucumber)
* SQL, MongoDB (databases)
* AWS, Cloud environments (Google Cloud)
* Elastic Search, Jenkins CI-CD, AWS API Gateway, Swagger
* Protocol Buffers/gRPC (advantage)
* Python, JavaScript (advantage)
* Kubernetes, Minikube, Docker containers (advantage)

(Note: Removed job title, location, salary information for machine learning model)"
Flutter Developer,"* Flutter app development and publication
* Third-party libraries and APIs
* Mobile development life cycle, testing
* HTTP, REST, JSON
* Proficient in version control (Git)
* Understanding of full mobile development life cycle
* Experience with third-party APIs and HTTP, REST, JSON

Note: The qualifications provided mention that Pankhuri is a virtual assistant for women in the retail industry, focusing on bridal looks, but this information is not relevant to the essential skills for a Flutter Developer role."
Backend Developer,"1. C# or VB.Net
2. SQL Server
3. JavaScript
4. Database (SQL Server, Functions, Stored Procedures)
5. Code maintenance and development
6. Performance optimization
7. Bug classification and resolution
8. Collaborative problem solving

Essential Skills for Backend Developer:
1. Programming languages: C#, VB.Net
2. Database management: SQL Server
3. Development: Code maintenance, optimization, problem solving
4. Performance: Maximizing application efficiency and responsiveness
5. Troubleshooting: Bug classification and resolution
6. Teamwork: Collaborative problem solving

Note: Non-essential information has been removed. This includes job venue, employment status, experience level, preferred education, benefits, and irrelevant soft skills."
Database Administrator,"* Database Administration
* Application configuration
* Application installation
* Application support
* Problem identification and resolution
* Incident and problem management
* Service request management
* Change control management
* Project management
* SQL/DB querying
* Knowledge of database structures and reporting techniques
* Familiarity with healthcare-related applications and IT systems
* Certification in relevant software (epic, resolute, etc.)
* Strong analytical skills and problem-solving abilities
* Customer service oriented
* Knowledge of access control and security policies
* Ability to work closely with infrastructure and support staff
* Strong communication skills (downtime communication, reporting, documentation)
* Ability to plan and manage projects and workflows
* Understanding of healthcare processes and procedures
* BA/BS in Information Technology or related field
* Minimum 3-5 years of experience in healthcare IT field.

Note: The list above includes only the essential skills for the Database Administrator role, removing any non-essential information or marketing language."
Java Developer,"* Java Developer
* Mid-level Software Developer
* Analysis and review of existing system logic
* Design, development, testing, debugging
* Documentation: code comments, manuals, user guides, status reports
* Identification and reporting of software problems
* Web-related technologies and techniques
* Experience with Visual Studio (2015 or higher)
* C# or ASP.Net
* SQL Development, Database Design (optional)
* US Citizenship with Secret Clearance or above (preferred)"
Wordpress Developer,"* WordPress development
* HTML5, CSS3, JavaScript, jQuery
* Responsive design
* Debugging tools (Firebug, Chrome Inspector)
* CSS changes and consistency
* Git
* Cross-browser compatibility
* PHP back-end development
* Page builders
* RESTful APIs and JSON
* Optimization

Essential skills for a Wordpress Developer."
JavaScript Developer,"1. JavaScript, Node.js
2. Min. 2 years Node.js experience
3. Thorough Node.js, JavaScript understanding
4. Expertise in one framework (Angular, Vue.js, etc.)
5. Basic web application architecture
6. Git and git workflow
7. External integrations experience
8. AWS, GCC, Azure experience
9. Linux systems
10. CICD tools (Jenkins)
11. Testing and automation frameworks
12. RDBMS systems
13. 2+ years experience
14. Good communication skills
15. Ability to work under pressure
16. Quick problem-solving
17. Knowledge of specific technologies: AngularJS, Loopback
18. Plus: D3, D3Node, Js, Lodash, Cloud platforms, CICD, application design standards.

These keywords cover the essential skills required for a JavaScript Developer role, focusing on technical and technological expertise, including Node.js, JavaScript frameworks, and related tools."
Network Administrator,"1. Network administration
2. Maintenance and configuration
3. Reliable operation
4. Installation and upgrade
5. Virtualization
6. Troubleshooting
7. Documentation
8. IT infrastructure planning
9. Backup operations
10. Disaster recovery
11. Desktop and help desk support
12. Linux, Microsoft, and network certifications
13. Virtualization (VMWare)
14. Strong knowledge of systems and networking software and hardware
15. IT strategy and plans development
16. Help desk and IT operations best practices
17. Security, storage, data protection, disaster recovery protocols
18. Bachelor's degree in Computer Science, Information Technology, System Administration, or related field.
19. System administration experience: 5 years
20. Systems and networking software and hardware experience: 3 years."
JavaScript Developer,"- JavaScript
- React/Redux
- HTML5
- CSS
- Node.js
- TypeScript
- Angular 2
- Unit testing (Enzyme, Mockito)
- REST paradigms
- Build tools/Jenkins
- Source control (git/perforce)"
JavaScript Developer,"1. JavaScript, ReactJS, ES6
2. 10+ years software development experience
3. Hands-on experience as architect
4. HTML, CSS
5. Object-oriented design principles, design patterns
6. Agile development methodologies
7. Knowledge of React (plus)
8. UX & Visual Design expertise (optional)
9. Storage domain knowledge (optional)"
DevOps Engineer,"1. Git and GitHub
2. Git architecture and branch methodology
3. Git versioning lifecycle
4. Forking
5. GitHub branch protection, status checks, collaborator management
6. Linux and Windows Server administration
7. Virtualized and cloud-based environments (AWS, Google Cloud, Azure)
8. SCM-based services diagnosis and problem-solving
9. HTTP/REST/JSON-based services configuration and troubleshooting
10. Configuration management: Chef, Puppet, Ansible
11. Understanding of IT service-based protocols: TCP/IP, DNS, SSH/SSL, AD/LDAP
12. 3+ years experience administering GitHub
13. Deep subject matter expertise in Git or Perforce
14. 3+ years experience creating and debugging scripts (python, bash, powershell)
15. Experience with managing other version control applications (Perforce)
16. Experience with Git and GitHub specific skills: conflict resolution, YAML, JSON, Markdown, HTML.
17. Problem-solving and troubleshooting abilities
18. Ability to learn new skills quickly.

Note: Removed non-essential and marketing language, soft skills, and irrelevant information."
Flutter Developer,"1. Flutter development
2. Cross-platform mobile app development (Ionic)
3. Mobile app development for Android/iOS
4. Mobile app architecture planning
5. Mobile app design and optimization
6. Familiarity with emerging technologies, standards, and best practices
7. Continuous discovery, evaluation, and implementation of new technologies and frameworks
8. Mobile app testing tools and techniques
9. Object-oriented design patterns and Multi-threading concepts
10. SQLite database
11. Good knowledge of Google Play Services (Push Notifications)
12. Strong mobile UI design
13. Experience with third-party libraries and APIs
14. 3 years of hands-on experience
15. Clean, manageable code and documentation
16. Strong problem-solving skills
17. Benchmarking and optimization
18. Familiarity with agile principles and methodologies
19. Good understanding of mobile landscape and behavior patterns
20. Experience with web services (HTTP, REST, SOAP) using JSON
21. Proficient in iOS and Android mobile app development (plus)
22. Knowledge of HTML5 and third-party APIs (Facebook, Twitter, etc.)
23. Familiarity with continuous integration
24. Security mindedness in development practices
25. Collaboration with cross-functional teams
26. Ability to work independently
27. Meeting tight deadlines
28. Full-time position
29. Experience in Hybrid Mobile Tech and software development
30. Bachelor's degree (preferred)
31. Remote work (available)
32. ₹12,578.00 - ₹44,7"
Database Administrator,"* Configure, maintain Database Server
* Monitor system health and performance
* Ensure high-levels of performance and availability
* Implement security measures
* Apply data modeling techniques
* Analyze and solve database issues in real-time
* Perform scheduled maintenance
* Support release deployment activities
* Strong working knowledge of SQL Server and T-SQL
* 6+ years SQL Server experience (SQL Server 2016, 2017 preferred)
* Familiarity with third-party monitoring tools
* Good communication skills (written and oral)
* Excellent organizational skills
* Strong interpersonal skills
* Ability to manage time effectively
* Calm under pressure
* Strong attention to detail
* Ability to adapt to sudden changes
* Ability to multitask
* Familiarity with SQL Server locking and transaction concepts
* Understanding of potential performance bottlenecks."
Full Stack Developer,"1. Full Stack Development
2. Scalable system design and architecture
3. Strong problem-solving skills
4. Python, Go, Git
5. Database management (ObjectRocket platform, MongoDB, Elasticsearch)
6. Building APIs/Microservices
7. Experience with cloud platforms (AWS, GCE, Heroku, Azure)
8. Messaging systems (SNS/SQS, RabbitMQ, ApacheMQ, Apache Kafka)
9. Docker containerization
10. Code review and pairing
11. Strong sense of product ownership
12. Strong back-end development skills (data management, retrieval, and manipulation)
13. Elastic scalability and elasticsearch
14. ETL data warehousing
15. Websockets and asynchronous data flow
16. Polyglot (familiarity with multiple programming languages: Go, Java, Ruby, JavaScript)
17. Entrepreneurial spirit
18. Strong communication skills (preferred qualification understanding)
19. Familiarity with CI/CD tools (GitHub, Jenkins, Circle-CI)"
Java Developer,"1. Java Full Stack Development
2. Angular, HTML, Spring Cloud Data Flow Platform (Optional)
3. Back-end application development
4. Front-end application development
5. Java 8, Maven, JUnit
6. Spring Boot, Spring Cloud Netflix OSS
7. CI/CD (Jenkins, Azure DevOps) (Optional)
8. WireMock (Optional)
9. PCF (Optional)

Essential skills for a Java Developer role:

1. Java Full Stack Development
2. Java 8, Maven, JUnit
3. Spring Boot, Spring Cloud
4. CI/CD tools (Jenkins, Azure DevOps) (Optional)

Additional skills (Optional):

1. Angular, HTML
2. Spring Cloud Data Flow Platform
3. WireMock
4. PCF

Note: The educational qualification and professional attributes were removed as they are not directly related to the technical skills required for the Java Developer role."
